row,col,x,y,elevation,slope,aspect,curvature,twi,lithology,target
7257,7907,330129.21936093434,2885963.0615870575,43.165672,0.4463865,62.847374,-0.0001208051,8.255974,6.0,0
5182,19193,668709.2193609343,2948213.0615870575,554.65063,15.598503,69.99121,-0.00881529,4.6771073,8.0,0
7189,10368,403959.21936093434,2888003.0615870575,151.39267,13.308678,74.0602,0.0011679502,4.8427935,6.0,0
8516,7389,314589.21936093434,2848193.0615870575,965.3964,9.133628,254.44765,-0.0050079175,5.22894,9.0,0
8362,5259,250689.21936093434,2852813.0615870575,0.0,0.0,0.0,0.0,10.308952,9.0,0
3942,18693,653709.2193609343,2985413.0615870575,89.24356,0.25491318,225.39369,0.00013003455,8.81625,6.0,0
3444,3265,190869.21936093434,3000353.0615870575,0.0,0.0,0.0,0.0,10.308952,5.0,0
4058,5685,263469.21936093434,2981933.0615870575,0.0,0.0,0.0,0.0,10.308952,9.0,0
8825,9725,384669.21936093434,2838923.0615870575,1185.941,1.939456,3.9360082,-0.0075518796,6.786635,9.0,0
5638,15862,568779.2193609343,2934533.0615870575,261.9889,13.458984,330.9433,-0.008461648,4.831144,6.0,0
6137,11378,434259.21936093434,2919563.0615870575,53.603394,0.24233283,10.187291,0.0006030231,8.866861,6.0,0
6806,12096,455799.21936093434,2899493.0615870575,61.642624,2.6834376,165.14932,-0.0005535115,6.461594,6.0,0
10419,16466,586899.2193609343,2791103.0615870575,909.04205,15.369404,310.4108,0.001949429,4.692649,4.0,0
9714,9649,382389.21936093434,2812253.0615870575,1759.6565,46.522293,139.74242,0.005186802,3.3480344,9.0,0
13006,12625,471669.21936093434,2713493.0615870575,30.254723,0.10002896,288.74094,0.00010744519,9.7517185,6.0,0
2590,16641,592149.2193609343,3025973.0615870575,0.0,0.0,0.0,0.0,10.308952,3.0,0
11835,17178,608259.2193609343,2748623.0615870575,0.0,0.0,0.0,0.0,10.308952,4.0,0
9100,3352,193479.21936093434,2830673.0615870575,75.61251,8.446916,357.32257,-0.0034655686,5.308341,4.0,0
11087,9167,367929.21936093434,2771063.0615870575,4.46861,5.123932,297.3816,0.00014228452,5.8128314,1.0,0
12409,11067,424929.21936093434,2731403.0615870575,116.53718,11.245973,188.30116,-0.004697397,5.0164557,6.0,0
9365,17103,606009.2193609343,2822723.0615870575,0.0,0.0,0.0,0.0,10.308952,4.0,0
6056,17015,603369.2193609343,2921993.0615870575,100.476494,1.2990903,172.03214,-0.00040064706,7.1875887,4.0,0
7764,12197,458829.21936093434,2870753.0615870575,183.17796,9.852382,221.92763,-0.0018854142,5.1517863,6.0,0
6042,13282,491379.21936093434,2922413.0615870575,64.901535,1.3443029,206.97197,0.0004752307,7.153365,9.0,0
11590,4690,233619.21936093434,2755973.0615870575,0.0,0.0,0.0,0.0,10.308952,6.0,0
4470,12013,453309.21936093434,2969573.0615870575,104.14418,0.37435177,169.15268,1.4305078e-06,8.43197,6.0,0
5805,18851,658449.2193609343,2929523.0615870575,335.4228,26.25921,109.20944,0.0045528836,4.1077433,8.0,0
6819,6295,281769.21936093434,2899103.0615870575,0.0,0.0,0.0,0.0,10.308952,6.0,0
8591,16399,584889.2193609343,2845943.0615870575,363.5263,5.523736,64.30856,0.0009274462,5.737265,4.0,0
7862,11049,424389.21936093434,2867813.0615870575,743.4523,24.235298,16.469473,-0.00039637226,4.1993527,9.0,0
2729,12196,458799.21936093434,3021803.0615870575,0.0,0.0,0.0,0.0,10.308952,5.0,0
13476,4168,217959.21936093434,2699393.0615870575,0.0,0.0,0.0,0.0,10.308952,6.0,0
5024,8937,361029.21936093434,2952953.0615870575,85.09006,0.28519621,138.2147,0.00022337807,8.703994,3.0,0
12953,10545,409269.21936093434,2715083.0615870575,10.96109,0.57096326,177.35732,3.2888252e-05,8.009822,3.0,0
13568,16553,589509.2193609343,2696633.0615870575,768.60425,0.85945296,6.1632066,5.6762692e-05,7.6008086,4.0,0
11308,11774,446139.21936093434,2764433.0615870575,46.069653,5.98977,8.101644,0.00060121855,5.6557193,3.0,0
10562,10936,420999.21936093434,2786813.0615870575,594.8047,15.860106,229.40498,-0.003303358,4.6596093,4.0,0
2904,18080,635319.2193609343,3016553.0615870575,89.63078,0.40293622,356.9666,-7.4867676e-05,8.358385,6.0,0
4374,17052,604479.2193609343,2972453.0615870575,79.5,0.0,0.0,0.0,10.308952,6.0,0
9433,7531,318849.21936093434,2820683.0615870575,1326.1523,12.969138,94.96211,-0.0033553736,4.869566,9.0,0
5031,10318,402459.21936093434,2952743.0615870575,93.97842,2.4652658,67.72125,-0.00010214909,6.5465074,6.0,0
13401,16986,602499.2193609343,2701643.0615870575,0.0,0.0,0.0,0.0,10.308952,4.0,0
8499,3656,202599.21936093434,2848703.0615870575,0.0,0.0,0.0,0.0,10.308952,9.0,0
7841,14607,531129.2193609343,2868443.0615870575,187.2803,8.0326605,215.27283,0.00077071716,5.359327,9.0,0
4157,17596,620799.2193609343,2978963.0615870575,82.0,0.0,0.0,4.2385526e-09,10.308952,6.0,0
3864,7214,309339.21936093434,2987753.0615870575,1250.8788,44.713486,94.227,0.0038476896,3.4111989,9.0,0
2493,4241,220149.21936093434,3028883.0615870575,0.0,0.0,0.0,0.0,10.308952,9.0,0
9377,5489,257589.21936093434,2822363.0615870575,0.0,0.0,0.0,0.0,10.308952,9.0,0
8717,16696,593799.2193609343,2842163.0615870575,955.41815,20.867823,205.72511,0.004455125,4.365577,4.0,0
6717,16780,596319.2193609343,2902163.0615870575,107.25971,0.09471563,280.8233,1.7356873e-05,9.806299,4.0,0
11669,18246,640299.2193609343,2753603.0615870575,0.0,0.0,0.0,0.0,10.308952,6.0,0
12352,18672,653079.2193609343,2733113.0615870575,0.0,0.0,0.0,0.0,10.308952,3.0,0
8779,10870,419019.21936093434,2840303.0615870575,821.21014,9.970475,339.85773,0.0047475686,5.1396303,9.0,0
12422,18292,641679.2193609343,2731013.0615870575,0.0,0.0,0.0,0.0,10.308952,6.0,0
2646,9516,378399.21936093434,3024293.0615870575,0.0,0.0,0.0,0.0,10.308952,7.0,0
6103,12748,475359.21936093434,2920583.0615870575,60.396275,0.32585162,322.57208,0.00021202616,8.570726,9.0,0
7860,14484,527439.2193609343,2867873.0615870575,169.57762,0.19229314,204.64589,0.0017787891,9.098155,9.0,0
5778,19268,670959.2193609343,2930333.0615870575,369.20163,16.717361,125.12857,0.0035707515,4.604022,8.0,0
12064,9499,377889.21936093434,2741753.0615870575,0.0,0.0,0.0,0.0,10.308952,6.0,0
10496,11556,439599.21936093434,2788793.0615870575,773.8073,1.7510962,20.574451,3.075495e-05,6.8888707,8.0,0
7650,9823,387609.21936093434,2874173.0615870575,424.2048,21.361225,92.59848,-0.0008260937,4.3399506,9.0,0
9294,14131,516849.21936093434,2824853.0615870575,316.44537,9.930923,75.577034,-0.00087199756,5.1436863,4.0,0
3981,9246,370299.21936093434,2984243.0615870575,1337.8746,23.315836,309.75003,-0.0012720744,4.2428546,5.0,0
