row,col,x,y,elevation,slope,aspect,curvature,twi,lithology,target
481,6676,387361.08255802124,2887105.5584026244,121.869415,12.717138,275.0373,0.005255918,4.8898606,4.0,1
481,6677,387391.08255802124,2887105.5584026244,123.58009,15.901583,289.4408,0.0031028874,4.656859,4.0,1
481,6678,387421.08255802124,2887105.5584026244,126.801575,21.568813,280.46356,0.0010829311,4.3293114,4.0,1
481,6679,387451.08255802124,2887105.5584026244,126.90192,26.722528,266.36365,0.00011895923,4.0874877,4.0,1
481,6680,387481.08255802124,2887105.5584026244,124.03933,29.123669,260.55814,0.00024445634,3.986147,4.0,1
481,6681,387511.08255802124,2887105.5584026244,121.36595,29.539915,250.14131,0.0015212586,3.9691353,4.0,1
482,6675,387331.08255802124,2887075.5584026244,129.53532,21.18364,247.25604,0.006903229,4.349118,4.0,1
482,6676,387361.08255802124,2887075.5584026244,126.45885,16.918467,269.0274,0.0070354394,4.5913486,4.0,1
482,6677,387391.08255802124,2887075.5584026244,129.51167,19.657804,298.85333,0.004670961,4.4305973,4.0,1
482,6678,387421.08255802124,2887075.5584026244,138.78654,23.816103,296.45145,0.0008456698,4.2190275,4.0,1
482,6679,387451.08255802124,2887075.5584026244,143.33281,26.081615,275.72464,-0.0019396341,4.115574,4.0,1
482,6680,387481.08255802124,2887075.5584026244,142.8333,28.55955,262.33374,-0.002508409,4.009448,4.0,1
482,6681,387511.08255802124,2887075.5584026244,138.44429,30.940895,250.16122,-0.0010071518,3.9129276,4.0,1
482,6682,387541.08255802124,2887075.5584026244,129.29753,32.745384,248.21634,0.0015300432,3.8426404,4.0,1
483,6674,387301.08255802124,2887045.5584026244,150.34021,29.473104,242.532,0.0039306134,3.9718556,4.0,1
483,6675,387331.08255802124,2887045.5584026244,143.48166,29.171946,251.9696,0.006226985,3.984166,4.0,1
483,6676,387361.08255802124,2887045.5584026244,139.05956,27.41438,264.46097,0.007290528,4.0576863,4.0,1
483,6677,387391.08255802124,2887045.5584026244,140.50876,26.390507,290.57025,0.0056002596,4.101978,4.0,1
483,6678,387421.08255802124,2887045.5584026244,150.84412,27.242668,300.06955,0.0012245814,4.0650344,4.0,1
483,6679,387451.08255802124,2887045.5584026244,156.73146,25.8426,282.6767,-0.002790129,4.126173,4.0,1
483,6680,387481.08255802124,2887045.5584026244,157.23112,26.576572,263.94592,-0.0041821944,4.093842,4.0,1
483,6681,387511.08255802124,2887045.5584026244,154.61775,28.893778,251.85558,-0.0032557356,3.9956076,4.0,1
483,6682,387541.08255802124,2887045.5584026244,147.57605,31.250153,252.47559,-0.001759286,3.900723,4.0,1
484,6674,387301.08255802124,2887015.5584026244,166.62338,31.470167,247.24863,0.0033494523,3.8920817,4.0,1
484,6675,387331.08255802124,2887015.5584026244,162.52357,30.58736,253.90121,0.0047564995,3.9269664,4.0,1
484,6676,387361.08255802124,2887015.5584026244,158.4314,29.29159,261.04797,0.0059162444,3.979266,4.0,1
484,6677,387391.08255802124,2887015.5584026244,156.47769,28.934422,284.7149,0.0048054205,3.9939315,4.0,1
