row,col,x,y,elevation,slope,aspect,curvature,twi,lithology,target
523,541,622215.0,3032415.0,3027,44.205048,215.93713,0.004722222,8.776057,1,0
1227,1769,659055.0,3011295.0,907,24.68443,112.380135,-0.00083333335,8.272899,1,1
1270,1390,647685.0,3010005.0,576,45.100117,335.9892,0.003611111,8.408338,2,1
916,2144,670305.0,3020625.0,1670,21.579008,110.3441,0.006666667,11.131186,3,1
963,280,614385.0,3019215.0,2439,29.30865,5.964485,0.0022222223,9.57699,1,0
384,1373,647175.0,3036585.0,1513,30.51397,136.14577,0.0022222223,9.122849,1,1
1007,1177,641295.0,3017895.0,876,25.104176,128.50066,-0.009722223,8.253712,2,0
839,1418,648525.0,3022935.0,1147,53.205605,343.71124,-0.0013888889,7.6105785,1,1
41,1402,648045.0,3046875.0,944,34.18354,180.3515,-0.0044444446,9.38649,1,1
911,1007,636195.0,3020775.0,1614,36.78223,65.29176,-0.00055555557,7.093266,2,1
815,1938,664125.0,3023655.0,1805,45.452805,285.4612,8.6736174e-19,9.271495,1,0
551,2266,673965.0,3031575.0,3994,23.52503,174.50768,0.0013888889,9.243479,1,0
374,1370,647085.0,3036885.0,1887,57.172966,163.12373,0.0016666667,7.97352,1,1
466,1719,657555.0,3034125.0,1371,28.821898,91.7357,0.007222222,11.088653,1,0
301,2260,673785.0,3039075.0,4128,9.421579,218.88449,0.0052777776,8.598549,1,0
937,740,628185.0,3019995.0,672,28.214178,83.75809,0.011944445,9.370968,1,1
947,415,618435.0,3019695.0,2031,22.373844,301.75946,-0.0013888889,9.992595,1,0
816,651,625515.0,3023625.0,887,41.436245,187.59464,0.0069444445,8.536553,1,1
569,1438,649125.0,3031035.0,783,45.913563,98.58794,-0.011944445,6.7705,1,0
367,1361,646815.0,3037095.0,2076,27.197277,108.43495,0.0025,8.161326,1,0
440,333,615975.0,3034905.0,2691,44.099026,238.36021,0.0011111111,7.932462,1,1
735,1270,644085.0,3026055.0,950,45.346893,157.23499,-0.006666667,6.7902856,1,1
33,952,634545.0,3047115.0,3642,34.78953,327.73965,0.0025,9.112513,1,0
501,1656,655665.0,3033075.0,1905,32.178432,191.45876,0.008333334,9.057447,1,0
871,2248,673425.0,3021975.0,3028,50.35111,212.59259,0.031111112,10.657561,3,1
1045,273,614175.0,3016755.0,1396,25.438444,183.01279,-0.0016666667,8.2386,1,1
501,396,617865.0,3033075.0,2177,31.27411,222.77603,-0.0016666667,9.498202,1,1
911,869,632055.0,3020775.0,1298,25.998299,199.98311,-0.004722222,7.520458,1,1
600,884,632505.0,3030105.0,1585,41.617554,196.90515,-0.00055555557,8.019352,2,1
202,1929,663855.0,3042045.0,3382,22.75355,319.02826,0.00083333335,10.156214,1,0
1105,607,624195.0,3014955.0,862,21.622444,309.8827,0.0058333334,9.519533,1,0
637,932,633945.0,3028995.0,1407,37.000084,100.1915,0.004722222,9.282571,2,0
872,2242,673245.0,3021945.0,2983,45.926617,168.59941,0.014444444,9.072629,3,1
1093,2199,671955.0,3015315.0,2356,21.101912,142.01651,0.0052777776,9.14085,1,0
565,1126,639765.0,3031155.0,2581,31.052505,114.96899,-0.01,8.002859,1,0
870,1130,639885.0,3022005.0,1378,36.625275,37.25529,0.0055555557,8.485277,2,0
627,920,633585.0,3029295.0,1600,50.35178,52.576157,0.00055555557,7.7130985,2,0
938,740,628185.0,3019965.0,674,31.550531,97.800186,0.0027777778,9.081891,1,1
930,2143,670275.0,3020205.0,1602,35.715702,134.0608,-0.0011111111,8.230917,3,1
1274,1036,637065.0,3009885.0,1421,35.053894,316.92517,-0.008888889,7.8499193,1,0
168,1761,658815.0,3043065.0,2462,25.256657,35.655327,0.00083333335,9.750877,1,0
731,499,620955.0,3026175.0,1414,31.469154,248.85048,0.0058333334,9.372761,1,0
1065,1583,653475.0,3016155.0,653,38.08694,134.56921,0.0055555557,9.243307,1,1
179,1452,649545.0,3042735.0,1154,44.001823,175.29794,0.003611111,8.7831545,1,0
606,1982,665445.0,3029925.0,2931,29.326155,330.2024,-0.010833333,7.37905,1,1
27,1401,648015.0,3047295.0,1295,40.79132,191.41846,0.0013888889,8.895747,1,1
849,2181,671415.0,3022635.0,2176,38.835476,230.4602,0.026666667,11.22395,3,1
953,2248,673425.0,3019515.0,1902,18.860981,149.99509,-0.0069444445,7.876463,1,1
738,2360,676785.0,3025965.0,3848,19.858734,168.69006,0.00083333335,9.207067,3,0
872,2250,673485.0,3021945.0,3064,50.26929,231.18526,-0.00027777778,7.716028,3,1
495,395,617835.0,3033255.0,2237,44.21713,241.89865,-0.0013888889,7.522873,1,1
968,2219,672555.0,3019065.0,1729,47.741444,193.3523,-0.0075,7.399701,1,1
24,1397,647895.0,3047385.0,1342,52.981476,186.85707,0.03277778,9.515845,1,1
1180,1198,641925.0,3012705.0,1099,41.370235,96.5198,0.00083333335,8.02805,2,1
979,873,632175.0,3018735.0,1651,10.35731,316.8476,-0.0016666667,11.546475,1,0
23,1020,636585.0,3047415.0,3187,24.522812,80.537674,-0.0027777778,8.685815,1,0
788,2054,667605.0,3024465.0,2564,32.420147,17.959473,0.003611111,11.08499,1,0
970,1445,649335.0,3019005.0,1836,31.833967,151.54298,-0.0019444445,8.888503,1,0
91,314,615405.0,3045375.0,4535,42.47325,241.45198,0.00083333335,6.8907094,1,0
1228,1780,659385.0,3011265.0,766,27.638462,95.937416,0.008055556,9.847237,1,1
68,643,625275.0,3046065.0,4637,23.880253,54.963802,0.003611111,10.450411,1,0
956,875,632235.0,3019425.0,1430,27.727669,277.7447,0.017222222,9.930463,1,1
533,1425,648735.0,3032115.0,1276,29.239792,45.0,0.0033333334,8.992022,1,0
1181,1199,641955.0,3012675.0,1073,21.771368,66.64444,0.025555555,11.996873,2,1
921,2279,674355.0,3020475.0,2453,60.44592,182.03091,0.0055555557,7.844471,3,1
584,855,631635.0,3030585.0,1611,35.726643,223.12212,0.005,8.518196,2,1
469,2026,666765.0,3034035.0,3105,35.578312,351.9643,0.01,10.692716,1,1
335,1354,646605.0,3038055.0,1744,51.605984,328.7767,-0.010555555,7.2628784,1,0
502,397,617895.0,3033045.0,2176,28.464212,224.37724,-0.00055555557,8.800907,1,1
1114,998,635925.0,3014685.0,2349,20.648783,18.034286,-0.0033333334,9.570069,1,0
787,1883,662475.0,3024495.0,1410,36.349697,159.10223,-0.006111111,7.109043,1,0
1181,2112,669345.0,3012675.0,1365,37.180916,305.61084,-0.008611111,8.177398,1,0
703,1708,657225.0,3027015.0,1698,31.1444,111.4346,0.003611111,9.097845,1,0
931,2143,670275.0,3020175.0,1587,32.844307,129.23737,0.0033333334,8.8494835,3,1
443,328,615825.0,3034815.0,2534,30.3326,215.7274,0.018055556,11.308631,1,1
846,2167,670995.0,3022725.0,2019,54.453197,240.38206,-0.00055555557,10.526702,3,1
1155,1111,639315.0,3013455.0,1741,20.891827,53.88066,0.0013888889,10.163412,2,0
